1,heidi allen voted in favour of cutting universal credit work allowance does nobody at rtoday ever bother to do any research at all before allowing an mp to spout her concern rtoday gone
2,heidi allen may base her politics on this is just what my party always does but labour manifesto is actually already built on evidence is she saying she hasn looked at the evidence before voting in the past that enormously concerning twitter com ayocaesar status ã â ã â â 
3,if want know the government is in such mess over the brexit negotiations look at the behaviour of the tory mps who pledged to respect the referendum now undermine it like heidi allen mp who does not even herself as tory mp even though she nominally is one pic twitter com ggorjarumy
4,i suspect that heidi allen is more interested in her image than those people who are truly suffering hardship shame on her to use people in this way if she really cared she would desist from voting in cruel tory policies isupportlabour
5,if only heidi allen spoke up as much for oppressed taxpayers as she does for layabouts on benefits she be proper tory mp why doesn she just leave the party so that south cambs can have proper representative 
6,or frank field does wolf of wall street starring heidi allen as the fall girl pouty symbolic heroine who as transparent as piece of izal loo paper she wiped her arse on 
7,all you need to know about heidi allen will the real heidiallen please stand up and stop fucking crying over what you voted for pic twitter com xpuhuw
8,i could never vote for soubry for the same reason could not vote for heidi allen or phillip lee they have no integrity they lied on the doorstep thereã â â plenty of evidence to show it if the current shit show can be pinned on anyone itã â â surely mps like them 
9,thatã â â really not the party you belong in if thatã â â what you want 
10,hopefully at least regardless if sheã â â not ousted then the party will be finished for decades listened to heidi allen earlier sheã â â voting for may but wonã â â support her deal incomprehensible may wonã â â change her deal so why would you support her 
11,heidi allen always says these things then she votes with government twitter com itvpeston status ã â ã â â 
12,heidi allen blocked me perhaps for calling her crybaby drama queen which she is so donã â â know what she has said but she is tory as bad as the rest party first people after donã â â buy the face she puts when the cameras are on 
13,anna soubry sarah wollaston and heidi allen have to back corbyn amendment or vote against theresa may in no confidence vote only the tory rebels have the numbers to stop her but they continue to let her ignore parliament pic twitter com iqopalvd
14,i would point out the hypocrisy of cryinã â â heidi allen to her face but she blocked me she sobbed at the sight of starving people and said she hated austerity yesterday she voted to strip more money away from councils and deepen austerity further never trust tory pic twitter com nokpmarx
15, rtoday first they divided working nonworking then they went the disabled now they cream off our taxes into tax havens thru outsourcing try to woo the young by attacking the old fuck off heidi allen resolution foundation bloody joke
16,iã â â sure heidi allen means well but her voting records suggests she really needs to try harder itã â â no good going around trying to undo the appalling deliberate cruelty of her party after supporting it 
17,thanks for that sam have read the statement and believe that heidi allen speaks from her heart and is genuine you are lucky to have her as your mp although she clearly does not have your support but you cannot please all the people all the time twitter com s__a__m status ã â ã â â 
18,my vote would go to heidi allen seems genuinely caring person compared to her tory colleagues and is on record as saying she would rather be sitting as an independent mp as she doesn fully agree with tory policies pic twitter com hlwlmpwwi
19,totally agree heidi allen been crying about the poor for too long no one believes her look at her voting history she voted for all the cuts that have caused more foodbanks to open 
20,i wish could see this but heidi allen blocked me after called her bluff post crying at starving people twitter com helenmallam status ã â ã â â 
21,heidi allen and dr sarah are about the only normal tory woman feel could relate to at all they re dreadful including liz truss who sounds when she speaks as though she operated by batteries she just spouts all the phrases that cchq have told her to include 
22,heidi allen continues to be one of my favourite politicians proud former constituent of hers albeit not constituent who ever voted for her because while like her donã â â and wonã â â vote tory twitter com hannahalothman status ã â ã â â 
23,how many times is heidi allen going to try to put the brakes on what her party is doing before she realises that it not very nice party twitter com bbcpolitics status ã â ã â â 
24,heidi allen is my mp and although didn vote for her at the general election she doing better job of representing her constituency where voted remain than most mps south cambridgeshire little island of sanity in sea of brexit madness 
25,widely reported on by itvnews as full of remainers heidi allenã â â rally included her making incredible statement that ã â â million jobs would be lost on no dealã â â graham gudgin bet her ten grand itã â â be nowhere near that did she accept well guess briefingsforbrexit com letter to remainers by dr graham gudgin ã â ã â â 
26,does nadine dorries talk over anyone who disagrees with her constantly in person she seemed to do this lot this evening m surprised you and heidi allen did not get pissed off about it peston
27,spot on fucking despise heidi allen her voting record is no different from other tory mps if she genuinely sincere she should prove it by apologising for her past actions 
28,but may is framing vote of confidence in her as vote on her brexit plan can heidi allen or any other sensible tory support her on that basis 
29,snidey heidi allen pompous alan duncan etc etc theyã â â re rabble of plastic elitists who dont give shit about the country 
30,heidi allen who is my mp laying out her position on brexit applaud the way heidiallen is trying to keep her consituents up to date if all mps could do the same think the electorate would be in better position www youtube com watch bmvliziosã â ã â â 
31,heidi allen has an entire plate of chicken gavin shuker got beer angela smith on the white wine and mike gapes is on the red chukka umuna has some sort of bap and can see only one salad and bottle of water soubry but otherwise yeah what bunch of saddos twitter com sunpolitics status ã â ã â â 
32, bbcpolitics heidi allen says she will vote for may but not her deal is she really that stupid so she wants may to stay and the brexit deal won get through is she really that daft we are seeing how inadequate lot of mps are no sane thought process going on in her head
33,heidi allen got elected on that manifesto she should honour the contract she mislead and stole votes from her constituents
34,heidi allen and frank field on tour sounds bit like sergã â gainsborg and jane birkin is it an anti austerity tour or crusade to save their own jobs itã â â very simple heidi you go to your boss and tell her to her face ã â â fgs enough of this austerity tell the damn truth ã â â 
35,the arrogant response is what expect from heidi allen she doesn like it when it put back on remoaners she will be kicked out at the next election can wait to see her face as she stands on stage and loses her seat worth waiting for 
36,heidi allen looks like sheã â â about to spit whateverã â â in her mouth straight into napkin 
37,actually she didn her response to heidi allen was significant 
38,this is an absolute disgrace fuck the conservative and unionist party fuck them how dare they purport to represent the people of the uk to the world with such base offensive ignorance soubry tannock heidi allen why are you in the same party as this utter wallopers twitter com guyverhofstadt status ã â ã â â 
39, heidiallen you say the heidi allen who squeezes out few tears wrongs her hands then always walks through the tory lobby that heidi allen yeah no surprises there non at all 
40, the right wingers in her party says heidi allen maybe her voting record is fiction shes not also right winger bbctw
41,heidi allen can fuck off www theyworkforyou com mp heidi_allen south_cambridgeshire divisions policy ã â ã â â 
42,heidi allen compassionate tory sadly no opportunistic kindness is cynical or too late too many people died from her actions in parliament social murder on all their hands twitter com ryanrevox status ã â ã â â 
43,marr heidi allen is hell of sort even though sheã â â a tory 
44,so it your fault that we have increasing debt unsustainable debt you should be ashamed this is all because you can control your emotions you see someone suffering instead of asking for voluntary charity you compel people to give up their money disgraceful 
45,this is an absolute disgrace fuck the conservative and unionist party fuck them how dare they purport to represent the people of the uk to the world with such base offensive ignorance soubry tannock heidi allen why are you in the same party as this utter wallopers twitter com guyverhofstadt status ã â ã â â 
46,same heidiallen whose voting record is consistently in line with her government austerity the same heidi allen who last week voted to prop up that government get to fuck with your crocodile tears and self serving frankfieldteam can do one too www theguardian com society jan ive absolutely had enough tory mp embarks on anti austerity tourã â ã â â 
47,how terribly apt heidi allen would choose camera angle for herself looking straight down her nose she might start getting something right occasionally if she looked up to her constituents her countrymen in general she sure could use being taught lesson politicslive
48,ah but she can change her mind but the electorate cannot on brexit 
49,iã â â sure youã â â re very nice person heidi allen but you wonã â â even admit that your govn has created poverty homelessness in work child poverty if everything has been cut how do you live can you live on ã â per week read the un report stop being in denial twitter com heidiallen status ã â ã â â 
50,lol maggie wouldnã â â have put up with the bullshit from tusk merkel juncker or verhofstadt either nor would the likes of heidi allen have run circles around her 
51,watching through hrs of footage at heidi allen meeting earlier today discussing brexit with her three quarters brexit opposing constituents do make sacrifices earsbleeding mins in she has already said she prefers debating in her area as people are more intelligent 
52,i can tell what about heidi allen who is also negative and seems to speak against her party all the time was she also selected by open primary 
53,heidi allen would not allow such question it would defeat her use of food banks godsend to her image with her targeted audience her strategy works the english vote for greed violence hatred hypocrisy with pretty face the rest of the world is stunned pic twitter com pvxbllhru
54,heidi allen says the income threshold for parents getting hours free childcare is potty and far too high you can get it if you earn up to ã â k all the experts agree with her
55,tory mp heidi allen is just another white niggard nazi whore twitter com socialistvoice status ã â ã â â 
56, despite her rhetoric heidi allen consistently voted for tory reforms her latest callous decision removes all doubt she cares about her own career above peopleã â â lives no matter how much tories try to convince public truly no compassionate conservative evolvepolitics com tory mp who cried at universal credit horror stories votes to block universal credit impact assessment publication ã â ã â â 
57, conservatives m disgusted with your handling of an overwhelming majority demoratic vote leave sunken eu project hence ll be giving heidi allen mp my medals that represent all my dead comrades friends that died for once gt britain that is never more until unshackled pic twitter com crmyfqz
58,heidi allen is full of shit 
59, conservatives what happens when illegal migrant commits crime in cambridgeshire and god forbid murders someone and it comes to light that heidi allen has never even reported they were there you could be sued to hell and gone by the family of the murdered person deal with her 
60,they re trying to rework her image like they re also doing to frank field and heidi allen and turn her into caring woman of the people when she anything but 
61,personally think not only does heidi allen know what she is talking about but she is 
62,not the best way to proceed millions of ordinary people voted this government in and would probably agree with those awful changes it is not going to persuade heidi allen or the electorate of the error of their ways by calling them pure fucking evil ha is redeemable
63,you have your calling annasoubry anna_soubry heidiallen heidiallen sarahwollaston sarahwollaston and dominicgreive what are you waiting for you know you want to twitter com steven_swinford status ã â ã â â 
64,if you re still unsure as to whether heidi allen made the right decision in leaving the tories just remember that she doesn haven to hang around with embittered joy vacuum nadine dorries anymore pic twitter com ygyopsmvam
65,typical with heidi allen donã â â like her at all twitter com gerribird status ã â ã â â 
66,heidi allen vowed to quit if rees mogg was leader now she wants to quit if boris becomes leader if she is so disconnected from the views of her party membership surely she should leave anyway very little conservatism in her politics merely weak dose of socialism
67,i really want to believe heidiallen means well but her voting record is disappointment to me most of the time itã â â party before country every time she really needs to try harder 
68,i would but the delightful heidi allen blocked me when called her out on the school dinner scandal don believe m her only constituent in that position feel free to get on her case for us though 
69,shame on heidi allen let hope all the illegal immigrants swarm to her constituency what about when one of her proper british constituents is raped mugged stabbed or killed bet she says nothing to do with me and blame white person instead twitter com westmonsteruk status ã â ã â â 
70,i wrote to my south cambs mp heidi allen about brexit global warming uk being shrinking island facing rising sea levels fenland cambs got standard reply saying there a link to her web page she doesn reply to emails about brexit as she gets so many 
71,but if you deselect her as your official candidate your choice will be swamped by moderate voters like me as we ll force heidi allen to stand as an independent and she will win
72,yep cry di allen can shove her self serving boo hooing up her arse don cry for us heidi allen the truth is you voted for this for all the cruelty sad substitence too late to promise just keep your distance heidiallen torycutskill scrapuniversalcredit twitter com argyleloz status ã â ã â â 
73,oh for fuck sake how stupid do the tories think we are austerity is theirs it what they do tory mp heidi allen gets crocodile tears about the effects of austerity she has continually voted for and we re supposed to nod and vote for her www theguardian com society jan ive absolutely had enough tory mp embarks on anti austerity tour cmp share_btn_twã â ã â â 
74,if you happen to meet heidi allen conservative mp doing her anti austerity smell bullshit campaign please remember to ask her why she voted in line to make the poor worse off instead cut benefits and other questions instead of smiling for photo op 
75, victorialive rather than damaging her own reputation by defending the government tory mp heidi allen should become an independent mp m sure that if she is good mp she will be voted in at the next election so her voice can still be heard
76,here heidi allen voting record before she goes on tour to do her whitewashing of the damage done to the poor by tory fake austerity measures twitter com alberttrigg status ã â ã â â 
77,i do what terrible hypocrite heidiallen is sheã â â done serious damage and now she must be booted out of our parliament like so many other mps her voting record is disgrace to humanity not to mention uk 
78,tory mp heidi allen is complicit because little less than week ago she voted against the motion of no confidence in theresa may donã â â be fooled by her rtoday politicslive twitter com heidiallen status ã â ã â â 
79,heidi allen has just said she will back may but not her deal useless 
80,does heidi allen know how to tilt her screen politicslive
81,what utter codswallop from the self important self serving heidi allen she should be deselected for failing her constituents twitter com nadinedorries status ã â ã â â 
82,heidi allen went for the wing roulette no sides and thatã â â fucking brave heidipresident twitter com chukaumunna status ã â ã â â 
83,if heidi allen can rattle theresa mayã â â obdurate denial of the dire effects of her obscene austerity policies then good luck to her z
84,good luck and great fortitude to you sav at least it heidi allen who should give up being tory considering she blatantly doesn agree with most of what going on right now and provoked tm to say no more heidi allens still makes her hard to shift 
85,all the anti corbyn attacks today are to distract from this from theresa may as anna soubry sarah wollaston and heidi allen back her in no confidence votes fbpe you re being played so hard by the people you re trusting twitter com bethrigby status ã â ã â â 
86,i didnã â â vote for my local mp heidiallen and despair of tory policy but do believe in her as one of the ã â â good guysã â â iã â â ve written to her on several occasions and found her to be genuine and open minded in her approach www theguardian com society jan ive absolutely had enough tory mp embarks on anti austerity tour cmp share_btn_twã â ã â â heidiallen
87,heidi allen needs reminding of what her job is pic twitter com cdcmvtvyd
88,heidi allen is coming across really well amongst men whoã â â already made up their mind what her opinion was bbctw
